Snap SubfindID redshift Mstar SFR IsCentral SubhaloMass SubhaloGrNr Mbh Mbhdot
40 7392 1.4955 1.022224e+09 0.0000 0 3.272377e+10 3 0.000000e+00 0.000000
40 7393 1.4955 3.121114e+09 0.0000 0 1.546765e+10 3 0.000000e+00 0.000000
40 7396 1.4955 1.037144e+09 0.0000 0 2.743571e+10 3 2.799305e+06 0.000000
40 7397 1.4955 1.132695e+09 0.5167 0 1.783429e+10 3 2.189690e+06 0.000239
40 7398 1.4955 3.183178e+09 0.0000 0 4.274274e+09 3 0.000000e+00 0.000000
40 7400 1.4955 2.448790e+09 0.0000 0 9.029019e+09 3 0.000000e+00 0.000000
40 7402 1.4955 3.006727e+09 0.0000 0 3.660818e+09 3 0.000000e+00 0.000000
40 7404 1.4955 2.016276e+09 0.0000 0 1.011580e+10 3 0.000000e+00 0.000000
40 7405 1.4955 1.836614e+09 0.0000 0 8.292240e+09 3 0.000000e+00 0.000000
40 7413 1.4955 2.097546e+09 0.0000 0 2.566802e+09 3 0.000000e+00 0.000000
40 7415 1.4955 1.084831e+09 0.0000 0 8.762338e+09 3 0.000000e+00 0.000000
40 7416 1.4955 1.453099e+09 0.0000 0 4.732457e+09 3 0.000000e+00 0.000000
40 7418 1.4955 1.472226e+09 0.0000 0 5.162664e+09 3 0.000000e+00 0.000000
40 7419 1.4955 1.848453e+09 0.0000 0 2.204433e+09 3 0.000000e+00 0.000000
40 7425 1.4955 1.803263e+09 0.0000 0 2.075945e+09 3 0.000000e+00 0.000000
40 7430 1.4955 1.103918e+09 0.0000 0 4.057516e+09 3 0.000000e+00 0.000000
40 9191 1.4955 2.919574e+11 127.8124 1 3.152201e+13 4 8.928914e+08 0.023764
40 9192 1.4955 1.965205e+11 0.5059 0 1.069082e+13 4 1.136352e+09 0.009695
40 9193 1.4955 2.444016e+11 0.2117 0 5.184166e+12 4 1.055065e+09 0.004661
40 9194 1.4955 7.016985e+10 43.5917 0 5.723549e+11 4 2.148265e+08 0.171829
